y,A,X1,X2,X3
0.0,0,1.0,0.0,0.7505242480342549
0.0,0,0.0,1.0,0.5502295191850872
1.0,0,1.0,1.0,0.6726116970914859
0.0,0,1.0,0.0,0.3296554056379313
0.0,0,1.0,0.0,0.8496625361018277
1.0,1,1.0,0.0,0.7213401109605774
0.0,1,1.0,0.0,0.7907378335832769
0.0,1,0.0,1.0,0.5654672925313748
0.0,1,1.0,1.0,0.2679389962091706
1.0,0,1.0,0.0,0.6348145680569975
1.0,1,1.0,0.0,0.8939137439463494
1.0,1,1.0,0.0,0.8208388467774368
0.0,0,0.0,0.0,0.3318262007920961
1.0,0,1.0,0.0,0.6952639149624892
1.0,0,1.0,0.0,0.6182763178539803
0.0,0,0.0,0.0,0.5976961166402959
0.0,1,0.0,0.0,0.5939293377850282
1.0,0,1.0,0.0,0.5404477666933644
1.0,0,0.0,1.0,0.4876270648376716
0.0,0,0.0,0.0,0.7359766877986357
0.0,0,0.0,0.0,0.17977355682923818
1.0,1,1.0,0.0,0.6621051425817905
0.0,0,1.0,0.0,0.6807769216720576
0.0,1,1.0,1.0,0.5073116802370485
1.0,1,1.0,1.0,0.7974158879534822
0.0,1,0.0,1.0,0.8931904060777169
0.0,0,0.0,0.0,0.3665730347697416
1.0,1,1.0,1.0,0.6928561532253951
1.0,1,1.0,1.0,0.7836759605172815
0.0,1,0.0,0.0,0.4749809756329003
0.0,0,0.0,0.0,0.8881338569076551
0.0,1,0.0,1.0,0.5197803202860589
1.0,1,1.0,0.0,0.9525883297617264
1.0,1,1.0,0.0,0.8641282485496168
0.0,0,1.0,0.0,0.5633608927128495
1.0,1,1.0,1.0,0.9132335716085932
0.0,1,1.0,1.0,0.5504172565228648
1.0,1,1.0,0.0,0.7924237656810267
0.0,0,0.0,0.0,0.5941256161038955
0.0,1,0.0,1.0,0.3891798946870782
1.0,0,1.0,0.0,0.6794778099600491
0.0,0,1.0,0.0,0.5238890343308117
0.0,1,1.0,0.0,0.5103197519693294
0.0,1,0.0,1.0,0.8285643626547056
1.0,0,1.0,1.0,0.7993572270889384
0.0,1,1.0,0.0,0.32019040916476565
0.0,0,1.0,0.0,0.4076350811783708
1.0,0,1.0,0.0,0.8452604253398353
0.0,1,0.0,1.0,0.3059385672423405
0.0,0,0.0,0.0,0.6766099138985712
1.0,1,1.0,1.0,0.7514592782138051
0.0,1,1.0,0.0,0.13186354827271046
0.0,0,0.0,1.0,0.5548643856999954
0.0,0,0.0,1.0,0.5787624714423413
0.0,1,0.0,1.0,0.5411644498405077
0.0,1,1.0,0.0,0.18939930544099934
0.0,0,0.0,0.0,0.5367309783034734
1.0,0,1.0,0.0,0.6259918248407486
1.0,1,1.0,1.0,0.7817522552890944
0.0,0,0.0,0.0,0.4408483884752187
1.0,0,1.0,0.0,0.6695072129728922
1.0,1,1.0,1.0,0.8363484990788096
0.0,0,1.0,0.0,0.5592434765512265
0.0,0,1.0,0.0,0.7936541464697853
0.0,0,1.0,0.0,0.6258074069091502
0.0,0,0.0,1.0,0.43718959450992656
0.0,1,0.0,1.0,0.9237144628796544
1.0,0,1.0,1.0,0.6819908755426519
1.0,1,1.0,1.0,0.7917769083054035
1.0,0,1.0,1.0,0.7067573951697712
0.0,1,1.0,0.0,0.15059785742299284
1.0,0,1.0,0.0,0.624411666632507
1.0,1,1.0,0.0,0.7820102372937193
0.0,1,1.0,0.0,0.4351715490037317
1.0,1,1.0,0.0,0.8734164314284895
0.0,1,1.0,0.0,0.5710569963369916
1.0,1,1.0,0.0,0.9497637383078776
1.0,0,1.0,0.0,0.5706807673143985
1.0,1,1.0,1.0,0.6623544579017082
0.0,0,1.0,0.0,0.7841682600470923
0.0,0,1.0,0.0,0.9025678864009204
1.0,1,1.0,1.0,0.7468132226531208
0.0,1,0.0,0.0,0.2765418297180345
0.0,1,0.0,1.0,0.4724546352377611
0.0,0,0.0,1.0,0.6773433362544982
0.0,1,1.0,1.0,0.28766862261673376
0.0,1,1.0,1.0,0.2313907178657057
1.0,1,1.0,1.0,0.8904257037107647
0.0,1,1.0,1.0,0.7404191834152469
0.0,1,0.0,0.0,0.4422240466040527
1.0,0,1.0,1.0,0.7017060301081096
0.0,1,1.0,0.0,0.30175938901479993
0.0,0,0.0,0.0,0.6494562504733308
1.0,0,1.0,0.0,0.8053627097686267
0.0,0,0.0,0.0,0.5261168873078255
1.0,0,1.0,0.0,0.6581259224646268
0.0,1,0.0,1.0,0.5317145681343337
0.0,0,0.0,0.0,0.7171137483837521
0.0,0,1.0,0.0,0.467184305870582
0.0,0,0.0,0.0,0.7486255003960894
0.0,1,0.0,0.0,0.10988357580797747
0.0,1,1.0,0.0,0.4918076956393679
0.0,0,1.0,1.0,0.8259407672003646
0.0,1,1.0,1.0,0.7703075683189279
0.0,0,1.0,0.0,0.6987759092203368
0.0,0,1.0,0.0,0.5810729905495349
0.0,1,1.0,0.0,0.41092543279723626
0.0,0,0.0,1.0,0.7363641224767408
0.0,1,0.0,1.0,0.7758608486081953
0.0,0,0.0,0.0,0.443536900562447
1.0,1,1.0,1.0,0.7569712642952315
0.0,1,0.0,0.0,0.5725421842798837
0.0,0,0.0,1.0,0.5117554856897759
0.0,1,1.0,0.0,0.3847311896652423
0.0,0,1.0,0.0,0.7622682625972979
0.0,0,0.0,1.0,0.8357144309662377
1.0,0,1.0,0.0,0.5858064955461979
1.0,1,1.0,1.0,0.8622232879814085
0.0,1,1.0,1.0,0.1883459823247373
1.0,1,1.0,1.0,0.7207541505951962
